"","mean","sd","25%","75%","2.5%","97.5%"
"$\mu_{\alpha}$",17.023445939221,6.37115521275904,13.0209382403234,21.1491131019332,1.08414051379642,31.4019374665246
"$\mu_{increment 1-2}$",-9.05889516218296,7.2726095172283,-13.2954790294099,-4.65207033206781,-27.8499379883005,8.11384378365654
"$\mu_{increment 2-3}$",-15.900182977609,8.0138133435069,-20.7882125182713,-10.7144914072833,-35.9330253934542,2.10028054958955
"$\mu_{increment 3-4}$",-15.8093111400924,8.46205435946765,-20.815527539432,-10.6790394446161,-35.7765902278237,4.82346492079855
"$\mu_{increment 4-8}$",-17.1917819917523,8.14654044162222,-21.9328378363249,-12.4458322321785,-37.0400519885619,1.87789671555602
"$\mu_{increment 8-pith}$",-9.99308649944127,7.62823535217752,-13.9710939898116,-6.0796185281243,-30.2695252242327,9.98086467609934
"$\mu_{\alphaSpring}$",-8.72786550551305,6.64706301775909,-13.1206593826284,-4.61830208493023,-23.6507991080616,7.22200067948704
"$\mu_{\alphaSummer}$",-6.40978672954306,6.54653462669119,-10.5760445088679,-2.32796137876588,-21.1580948502076,9.47647663556939
"$\mu_{\alphaAutumn}$",29.8070437582638,6.70276187625169,25.4298599957778,33.9780108849531,14.7640657320076,46.1949808112048
"$\mu_{\alphaWinter}$",-7.79402624738444,6.59687033145536,-12.092440241485,-3.61757339554183,-22.7042336978161,7.65281805004299
"$\mu_{\increment 1-2Spring}$",7.5919010394347,7.6308730539827,2.90251842121354,12.1536701058514,-10.1648248009714,27.4349723670797
"$\mu_{\increment 1-2Summer}$",8.48921433214038,7.56755058382241,3.75521216678809,12.9004574167815,-8.72980286156687,28.4483382437849
"$\mu_{\increment 1-2Autumn}$",-24.9127338145088,7.75077369206802,-29.5650887915696,-20.049138532763,-43.9586143922419,-6.8376280153583
"$\mu_{\increment 1-2Winter}$",8.6631586279616,7.6230293684562,3.94000404446651,13.2135157401406,-9.09325295109605,27.8106823663742
"$\mu_{\increment 2-3Spring}$",9.51524925203215,8.36452577796547,4.10854888776571,14.8272323923293,-9.67680208277694,29.9852298038554
"$\mu_{\increment 2-3Summer}$",9.4109013677533,8.33786048650168,3.98038199232129,14.5499963495356,-9.27306351402892,30.183824787865
"$\mu_{\increment 2-3Autumn}$",-30.4077655655809,8.4061529923591,-35.689641311981,-25.1108290437551,-49.3078986917896,-10.2268363107969
"$\mu_{\increment 2-3Winter}$",11.417995695474,8.45265667224853,6.07418418408938,16.4736665018138,-7.52021115493382,32.2478349912454
"$\mu_{\increment 3-4Spring}$",8.97562417962688,8.84602016987944,3.54378229807622,14.3693985202519,-11.8077162649818,30.2915098915627
"$\mu_{\increment 3-4Summer}$",11.7231506000075,8.76311290070304,6.28869045290434,16.9103119008169,-8.66540021643211,33.3647343704574
"$\mu_{\increment 3-4Autumn}$",-30.4628801338788,8.88513708565934,-35.904879808739,-25.1198103570984,-51.9630834351935,-10.3440770288808
"$\mu_{\increment 3-4Winter}$",9.7960163926391,8.83475234616236,4.45588144998693,14.9301497162816,-10.8546131008835,31.5648440491797
"$\mu_{\increment 4-8Spring}$",12.6551513395343,8.59505606601079,7.40838894004641,17.802549953154,-7.19092067979861,34.0069440833893
"$\mu_{\increment 4-8Summer}$",6.92586887905974,8.46580918919274,1.7913352799084,11.9302669817436,-13.2233105261137,27.0000849864308
"$\mu_{\increment 4-8Autumn}$",-28.4668611887332,8.60312502013508,-33.7027027448024,-23.1613532055504,-49.385922747435,-8.07501172291178
"$\mu_{\increment 4-8Winter}$",9.10269998798894,8.53018342699958,3.78392493706539,14.2294666462961,-11.0648959658289,29.9706498698006
"$\mu_{\increment 8-pithSpring}$",0.00232588854481856,8.62935880990309,-2.45515586059817,2.6119180290072,-24.1806622853849,23.6608646759025
"$\mu_{\increment 8-pithSummer}$",-0.263963380565503,6.9629037425535,-2.64298017727966,2.15723259506744,-20.1686330257664,18.8763973818759
"$\mu_{\increment 8-pithAutumn}$",-0.117296424270832,15.37455263724,-4.73458885682563,4.6239442773674,-42.4485372012416,39.6288281057422
"$\mu_{\increment 8-pithWinter}$",0.341858163724109,7.06578428501101,-2.0679001016595,2.75776887936707,-19.5016930446995,21.2073512781708
