"mean","25%","75%","parameter","int.mean","int.25","int.75","2.5%","97.5%","int2.5","int97.5"
9.94,8.64,11.24,"intercept[1]",9.94,8.64,11.24,6.07,13.82,6.07,13.82
17.73,16.42,19.01,"intercept[2]",17.73,16.42,19.01,14.05,21.43,14.05,21.43
34.92,33.51,36.34,"intercept[3]",34.92,33.51,36.34,30.76,39.01,30.76,39.01
9.35,7.84,10.91,"intercept[4]",9.35,7.84,10.91,4.74,13.78,4.74,13.78
7.09,3.88,10.25,"increment1M2[1]",9.94,8.64,11.24,-2.06,16.59,6.07,13.82
8.2,5.12,11.22,"increment1M2[2]",17.73,16.42,19.01,-0.51,17.12,14.05,21.43
13.35,9.99,16.7,"increment1M2[3]",34.92,33.51,36.34,3.68,23.07,30.76,39.01
2.44,-1.17,6.1,"increment1M2[4]",9.35,7.84,10.91,-8.27,13.02,4.74,13.78
0,-3.19,3.11,"increment2M3[1]",9.94,8.64,11.24,-9.13,9.24,6.07,13.82
2.39,-0.709999999999997,5.45,"increment2M3[2]",17.73,16.42,19.01,-6.42,11.34,14.05,21.43
0.510000000000005,-2.89,3.96,"increment2M3[3]",34.92,33.51,36.34,-9.33,10.21,30.76,39.01
-0.0199999999999996,-3.71,3.77,"increment2M3[4]",9.35,7.84,10.91,-10.86,10.82,4.74,13.78
0.0299999999999994,-3.14,3.22,"increment3M4[1]",9.94,8.64,11.24,-9.24,9.36,6.07,13.82
5.53,2.37,8.66,"increment3M4[2]",17.73,16.42,19.01,-3.41,14.55,14.05,21.43
0.530000000000001,-2.91,3.89,"increment3M4[3]",34.92,33.51,36.34,-9.31,10.43,30.76,39.01
-0.0999999999999996,-3.77,3.64,"increment3M4[4]",9.35,7.84,10.91,-11.02,10.82,4.74,13.78
0.0299999999999994,-3.14,3.22,"increment4M8[1]",9.94,8.64,11.24,-9.24,9.36,6.07,13.82
5.53,2.37,8.66,"increment4M8[2]",17.73,16.42,19.01,-3.41,14.55,14.05,21.43
0.530000000000001,-2.91,3.89,"increment4M8[3]",34.92,33.51,36.34,-9.31,10.43,30.76,39.01
-0.0999999999999996,-3.77,3.64,"increment4M8[4]",9.35,7.84,10.91,-11.02,10.82,4.74,13.78
0.0299999999999994,-3.14,3.22,"increment8Mpith[1]",9.94,8.64,11.24,-9.24,9.36,6.07,13.82
5.53,2.37,8.66,"increment8Mpith[2]",17.73,16.42,19.01,-3.41,14.55,14.05,21.43
0.530000000000001,-2.91,3.89,"increment8Mpith[3]",34.92,33.51,36.34,-9.31,10.43,30.76,39.01
-0.0999999999999996,-3.77,3.64,"increment8Mpith[4]",9.35,7.84,10.91,-11.02,10.82,4.74,13.78
