"mean","25%","75%","parameter","int.mean","int.25","int.75","2.5%","97.5%","int2.5","int97.5"
36.39,34.72,38.03,"intercept[1]",36.39,34.72,38.03,31.79,41.11,31.79,41.11
39.32,37.65,40.95,"intercept[2]",39.32,37.65,40.95,34.58,44.03,34.58,44.03
67.13,65.5,68.78,"intercept[3]",67.13,65.5,68.78,62.31,71.87,62.31,71.87
57.25,55.29,59.19,"intercept[4]",57.25,55.29,59.19,51.61,62.96,51.61,62.96
28.43,24.38,32.47,"increment1M2[1]",36.39,34.72,38.03,16.93,39.94,31.79,41.11
23.24,19.35,27.08,"increment1M2[2]",39.32,37.65,40.95,11.86,34.38,34.58,44.03
34.5,30.6,38.39,"increment1M2[3]",67.13,65.5,68.78,23.08,45.74,62.31,71.87
26.93,22.27,31.65,"increment1M2[4]",57.25,55.29,59.19,13.22,40.55,51.61,62.96
16.91,12.9,20.82,"increment2M3[1]",36.39,34.72,38.03,5.81,28.29,31.79,41.11
18.24,14.34,22.11,"increment2M3[2]",39.32,37.65,40.95,6.96,29.54,34.58,44.03
17.04,13.1,20.99,"increment2M3[3]",67.13,65.5,68.78,5.54,28.59,62.31,71.87
19.62,15.01,24.27,"increment2M3[4]",57.25,55.29,59.19,6.17,33.09,51.61,62.96
15.17,11.16,19.14,"increment3M4[1]",36.39,34.72,38.03,3.9,26.52,31.79,41.11
20.2,16.3,24.13,"increment3M4[2]",39.32,37.65,40.95,8.73,31.65,34.58,44.03
16.91,12.88,20.88,"increment3M4[3]",67.13,65.5,68.78,5.38,28.58,62.31,71.87
18.8,14.13,23.42,"increment3M4[4]",57.25,55.29,59.19,5.31,32.34,51.61,62.96
15.17,11.16,19.14,"increment4M8[1]",36.39,34.72,38.03,3.9,26.52,31.79,41.11
20.2,16.3,24.13,"increment4M8[2]",39.32,37.65,40.95,8.73,31.65,34.58,44.03
16.91,12.88,20.88,"increment4M8[3]",67.13,65.5,68.78,5.38,28.58,62.31,71.87
18.8,14.13,23.42,"increment4M8[4]",57.25,55.29,59.19,5.31,32.34,51.61,62.96
15.17,11.16,19.14,"increment8Mpith[1]",36.39,34.72,38.03,3.9,26.52,31.79,41.11
20.2,16.3,24.13,"increment8Mpith[2]",39.32,37.65,40.95,8.73,31.65,34.58,44.03
16.91,12.88,20.88,"increment8Mpith[3]",67.13,65.5,68.78,5.38,28.58,62.31,71.87
18.8,14.13,23.42,"increment8Mpith[4]",57.25,55.29,59.19,5.31,32.34,51.61,62.96
